num_pkts_in,num_pkts_out,bytes_in,bytes_out,min_packets_length,max_packets_length,mean_packets_length,min_inter_arrival_time,max_inter_arrival_time,mean_inter_arrival_time,cs,c_extensions,c_key_length,sni
6,6,3928,357,91,1460,714,0,386,80,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001900001673702e616e616c79746963732e7961686f6f2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['sp.analytics.yahoo.com']
6,6,3511,356,91,1460,644,0,26,9,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0018000015616e616c79746963732e747769747465722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['analytics.twitter.com']
7,8,4172,1241,91,1460,676,0,394,57,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0018000015616e616c79746963732e747769747465722e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['analytics.twitter.com']
6,6,3368,343,91,1460,618,0,122,28,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013', '0005', '0004']","[{'server_name': '0007000004742e636f'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['t.co']
7,8,4029,940,91,1460,621,0,337,73,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013', '0005', '0004']","[{'server_name': '0007000004742e636f'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['t.co']
5,7,2628,322,51,1430,590,0,54,24,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001e00001b676f6f676c656164732e672e646f75626c65636c69636b2e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['googleads.g.doubleclick.net']
7,10,4545,1185,51,1430,716,0,52,15,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001e00001b676f6f676c656164732e672e646f75626c65636c69636b2e6e6574'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['googleads.g.doubleclick.net']
6,6,4264,503,51,1460,794,0,250,48,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00130000107777772e6c696e6b6564696e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",2064,['www.linkedin.com']
10,9,6399,1628,49,1460,802,0,201,41,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00130000107777772e6c696e6b6564696e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",2064,['www.linkedin.com']
6,9,2968,850,51,1430,545,0,487,89,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001100000e7777772e676f6f676c652e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.google.com']
6,8,2969,1210,51,1430,597,0,455,86,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001100000e7777772e676f6f676c652e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.google.com']
7,8,3631,827,51,1410,557,0,325,56,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00130000107777772e66616365626f6f6b2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.facebook.com']
6,6,3126,311,51,1410,572,0,373,69,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '00130000107777772e66616365626f6f6b2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.facebook.com']
6,6,176,275,31,224,112,0,19935,4991,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001a0000177365637572652e7375727665796d6f6e6b65792e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",null,['secure.surveymonkey.com']
22,10,25457,666,107,1460,1135,0,338,15,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0019000016696563766c6973742e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['iecvlist.microsoft.com']
10,8,9015,375,107,1460,939,0,49,5,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b00001872323073776a31336d722e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['r20swj13mr.microsoft.com']
11,10,9617,716,107,1460,861,0,243,24,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001b00001872323073776a31336d722e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['r20swj13mr.microsoft.com']
11,10,9452,666,107,1460,843,0,11,2,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0019000016696563766c6973742e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['iecvlist.microsoft.com']
24,12,26163,666,91,1460,1166,0,17,1,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001900001669656f6e6c696e652e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['ieonline.microsoft.com']
9,7,6916,357,91,1460,909,0,27,3,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001900001669656f6e6c696e652e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['ieonline.microsoft.com']
8,10,5398,836,107,1460,692,0,304,39,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0013000010676f2e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['go.microsoft.com']
7,8,4817,367,107,1460,740,0,25,7,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '0013000010676f2e6d6963726f736f66742e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['go.microsoft.com']
12,8,7326,783,69,1460,737,0,302,29,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000e00000b7777772e6d736e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.msn.com']
8,7,5572,346,91,1460,845,0,18,3,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '000e00000b7777772e6d736e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['www.msn.com']
9,9,6921,842,101,1460,776,0,11,2,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001900001671756572792e70726f642e636d732e6d736e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['query.prod.cms.msn.com']
6,6,5695,373,107,1460,866,0,20,3,"['c028', 'c027', 'c014', 'c013', '009f', '009e', '0039', '0033', '009d', '009c', '003d', '003c', '0035', '002f', 'c02c', 'c02b', 'c024', 'c023', 'c00a', 'c009', '006a', '0040', '0038', '0032', '000a', '0013']","[{'server_name': '001900001671756572792e70726f642e636d732e6d736e2e636f6d'}, {'status_request': '0100000000'}, {'supported_groups': '000400170018'}, {'ec_point_formats': '0100'}, {'signature_algorithms': '0012040105010601020104030503060302030202'}, {'extended_master_secret': ''}, {'renegotiation_info': '00'}]",528,['query.prod.cms.msn.com']
